p4_page_id,p4b_page_id,url,title,short_description,vdid,paragraph_list,full_text,paragraph_1,paragraph_2,paragraph_3,paragraph_4,paragraph_5,paragraph_6,paragraph_7,paragraph_8,paragraph_9,paragraph_10,paragraph_11,paragraph_12,paragraph_13,paragraph_14,paragraph_15,paragraph_16,paragraph_17,paragraph_18,paragraph_19,paragraph_20,paragraph_21,paragraph_22,paragraph_23,paragraph_24,paragraph_25,paragraph_26
719159328743900282,719159328743900282,https://www.cnn.com/2024/09/19/sport/shohei-ohtani-50-50/index.html,Shohei Ohtani: Los Angeles Dodgers superstar becomes first player to join 50-50 club CNN,"Los Angeles Dodgers superstar Shohei Ohtani etched his name in Major League Baseball history on Thursday, becoming the inaugural member of the 50-50 club against the Miami Marlins.... Updated 3:17 AM EDT, Fri September 20, 2024...Shohei Ohtani of the Los Angeles Dodgers reacts after stealing third base ahead of Connor Norby #24 of the Miami Marlins to register his 50th stolen base of the season....Shohei Ohtani of the Los Angeles Dodgers reacts after stealing third base ahead of Connor Norby 24 of the Miami Marlins to register his 50th stolen base of the season ... Los Angeles Dodgers supersta",2,"["" Updated 3:17 AM EDT, Fri September 20, 2024"", ""Shohei Ohtani of the Los Angeles Dodgers reacts after stealing third base ahead of Connor Norby #24 of the Miami Marlins to register his 50th stolen base of the season."", "" Los Angeles Dodgers superstar Shohei Ohtani etched his name in Major League Baseball history on Thursday"", "" becoming the inaugural member of the 50-50 club against the Miami Marlins."", "" A 50-50 season consists of 50 home runs and 50 stolen bases in a single season."", "" Ohtani"", "" who became theto record 40 home runs and 40 stolen bases in a single season"", "" hit his 50th homer of the season in the top of the seventh inning after stealing his 50thand 51stbases earlier in the game."", "" The Japanese two-way sensation gave the Dodgers a 14-3 lead with his historic home run. Incredibly"", "" he homered again in his next at-bat in the 9th inning"", "" giving him three for the game. He entered the record books in unreal fashion"", "" hitting two doubles"", "" a single"", "" three home runs and stealing a base one of the most prolific offensive performances of the season by any player.""]"," Updated 3:17 AM EDT, Fri September 20, 2024 Shohei Ohtani of the Los Angeles Dodgers reacts after stealing third base ahead of Connor Norby #24 of the Miami Marlins to register his 50th stolen base of the season.  Los Angeles Dodgers superstar Shohei Ohtani etched his name in Major League Baseball history on Thursday  becoming the inaugural member of the 50-50 club against the Miami Marlins.  A 50-50 season consists of 50 home runs and 50 stolen bases in a single season.  Ohtani  who became theto record 40 home runs and 40 stolen bases in a single season  hit his 50th homer of the season in the top of the seventh inning after stealing his 50thand 51stbases earlier in the game.  The Japanese two-way sensation gave the Dodgers a 14-3 lead with his historic home run. Incredibly  he homered again in his next at-bat in the 9th inning  giving him three for the game. He entered the record books in unreal fashion  hitting two doubles  a single  three home runs and stealing a base one of the most prolific offensive performances of the season by any player."," Updated 3:17 AM EDT, Fri September 20, 2024",Shohei Ohtani of the Los Angeles Dodgers reacts after stealing third base ahead of Connor Norby #24 of the Miami Marlins to register his 50th stolen base of the season., Los Angeles Dodgers superstar Shohei Ohtani etched his name in Major League Baseball history on Thursday, becoming the inaugural member of the 50-50 club against the Miami Marlins., A 50-50 season consists of 50 home runs and 50 stolen bases in a single season., Ohtani, who became theto record 40 home runs and 40 stolen bases in a single season, hit his 50th homer of the season in the top of the seventh inning after stealing his 50thand 51stbases earlier in the game., The Japanese two-way sensation gave the Dodgers a 14-3 lead with his historic home run. Incredibly, he homered again in his next at-bat in the 9th inning, giving him three for the game. He entered the record books in unreal fashion, hitting two doubles, a single, three home runs and stealing a base one of the most prolific offensive performances of the season by any player.,,,,,,,,,,,,
719159328599350174,719159328599350174,https://www.cnn.com/business/markets-now,Markets Now CNN Business,Watch the live digital show every Wednesday at 12:00 p.m. ET. Plus: Get the latest news on the most important investing stories of the day as they happen....Analyst: Tech stocks will rise 20% in 2023...Analyst Tech stocks will rise 20 in 2023...FULL SHOW 12 21 2022 Why 2023 could be another losing year for Wall Street...Should you invest in crypto One expert weighs in after FTXs collapse...Heres where mortgage rates and home prices may be headed in 2023,2,"[""Watch the live digital show every Wednesday at 12:00 p.m. ET. Plus: Get the latest news on the most important investing stories of the day as they happen. "", ""Analyst: Tech stocks will rise 20% in 2023"", ""FULL SHOW 12 21 2022: Why 2023 could be another losing year for Wall Street"", ""Should you invest in crypto? One expert weighs in after FTXs collapse"", ""Heres where mortgage rates and home prices may be headed in 2023"", ""Planet Fitness CEO explains how it keeps gym memberships at $10""]",Watch the live digital show every Wednesday at 12:00 p.m. ET. Plus: Get the latest news on the most important investing stories of the day as they happen.  Analyst: Tech stocks will rise 20% in 2023 FULL SHOW 12 21 2022: Why 2023 could be another losing year for Wall Street Should you invest in crypto? One expert weighs in after FTXs collapse Heres where mortgage rates and home prices may be headed in 2023 Planet Fitness CEO explains how it keeps gym memberships at $10,Watch the live digital show every Wednesday at 12:00 p.m. ET. Plus: Get the latest news on the most important investing stories of the day as they happen. ,Analyst: Tech stocks will rise 20% in 2023,FULL SHOW 12 21 2022: Why 2023 could be another losing year for Wall Street,Should you invest in crypto? One expert weighs in after FTXs collapse,Heres where mortgage rates and home prices may be headed in 2023,Planet Fitness CEO explains how it keeps gym memberships at $10,,,,,,,,,,,,,,,,,,,,
719159331197971485,719159331197971485,https://www.cnn.com/entertainment/tv-shows,TV Shows CNN,"View TV show news and videos for the latest recaps, viral moments, season updates and more on CNN.com....Jude Law enters the Star Wars galaxy in epic fashion in nostalgic Skeleton Crew trailer...Jude Law enters the Star Wars galaxy in epic fashion in nostalgic Skeleton Crew trailer...Supacell creator Rapman thinks superheroes need to keep it real...Steve Martin says he declined to play Tim Walz on SNL because hes not an impressionist...Squid Game to end with Season 3",2,"[""View TV show news and videos for the latest recaps, viral moments, season updates and more on CNN.com. "", ""Jude Law enters the Star Wars galaxy in epic fashion in nostalgic Skeleton Crew trailer"", ""Supacell creator Rapman thinks superheroes need to keep it real"", ""Steve Martin says he declined to play Tim Walz on SNL because hes not an impressionist"", ""Squid Game to end with Season 3"", ""He never knew Matthew Perry"", "" but prosecutors say the ketamine that killed him came from the actors dealer""]","View TV show news and videos for the latest recaps, viral moments, season updates and more on CNN.com.  Jude Law enters the Star Wars galaxy in epic fashion in nostalgic Skeleton Crew trailer Supacell creator Rapman thinks superheroes need to keep it real Steve Martin says he declined to play Tim Walz on SNL because hes not an impressionist Squid Game to end with Season 3 He never knew Matthew Perry  but prosecutors say the ketamine that killed him came from the actors dealer","View TV show news and videos for the latest recaps, viral moments, season updates and more on CNN.com. ",Jude Law enters the Star Wars galaxy in epic fashion in nostalgic Skeleton Crew trailer,Supacell creator Rapman thinks superheroes need to keep it real,Steve Martin says he declined to play Tim Walz on SNL because hes not an impressionist,Squid Game to end with Season 3,He never knew Matthew Perry, but prosecutors say the ketamine that killed him came from the actors dealer,,,,,,,,,,,,,,,,,,,
719159330493343155,719159330493343155,https://www.cnn.com/2024/09/19/science/starry-night-van-gogh-hidden-math/index.html,Turbulent skies of Vincent Van Gogh s The Starry Night may align with a scientific theory CNN,"A new study suggests Vincent van Gogh showed a deep, intuitive understanding of the mathematical structure of turbulence in his painting The Starry Night....A new study suggests Vincent van Gogh showed a deep, intuitive understanding of the mathematical structure of turbulence in his painting The Starry Night. ... Updated 9:35 AM EDT, Thu September 19, 2024... Updated 9 35 AM EDT Thu September 19 2024...Vincent van Gogh masterpiece The Starry Night was painted in 1889 ... The dappled starlight and swirling clouds of Vincent van Goghs The Starry Night are thought to reflect the artists tumultuo",2,"[""A new study suggests Vincent van Gogh showed a deep, intuitive understanding of the mathematical structure of turbulence in his painting The Starry Night. "", "" Updated 9:35 AM EDT, Thu September 19, 2024"", ""Vincent van Gogh masterpiece \""The Starry Night\"" was painted in 1889."", "" The dappled starlight and swirling clouds of Vincent van Goghs The Starry Night are thought to reflect the artists tumultuous state of mind when he painted the work in 1889."", "" Now"", "" a new analysis by physicists based in China and France suggests the artist had a deep"", "" intuitive understanding of the mathematical structure of ."", "" As a common natural phenomenon observed in fluids moving water"", "" ocean currents"", "" blood flow"", "" billowing storm clouds and plumes of smoke turbulent flow is chaotic"", "" as larger swirls or eddies"", "" form and break down into smaller ones.""]","A new study suggests Vincent van Gogh showed a deep, intuitive understanding of the mathematical structure of turbulence in his painting The Starry Night.   Updated 9:35 AM EDT, Thu September 19, 2024 Vincent van Gogh masterpiece ""The Starry Night"" was painted in 1889.  The dappled starlight and swirling clouds of Vincent van Goghs The Starry Night are thought to reflect the artists tumultuous state of mind when he painted the work in 1889.  Now  a new analysis by physicists based in China and France suggests the artist had a deep  intuitive understanding of the mathematical structure of .  As a common natural phenomenon observed in fluids moving water  ocean currents  blood flow  billowing storm clouds and plumes of smoke turbulent flow is chaotic  as larger swirls or eddies  form and break down into smaller ones.","A new study suggests Vincent van Gogh showed a deep, intuitive understanding of the mathematical structure of turbulence in his painting The Starry Night. "," Updated 9:35 AM EDT, Thu September 19, 2024","Vincent van Gogh masterpiece ""The Starry Night"" was painted in 1889.", The dappled starlight and swirling clouds of Vincent van Goghs The Starry Night are thought to reflect the artists tumultuous state of mind when he painted the work in 1889., Now, a new analysis by physicists based in China and France suggests the artist had a deep, intuitive understanding of the mathematical structure of ., As a common natural phenomenon observed in fluids moving water, ocean currents, blood flow, billowing storm clouds and plumes of smoke turbulent flow is chaotic, as larger swirls or eddies, form and break down into smaller ones.,,,,,,,,,,,,,
719159328730073203,719159328730073203,https://www.cnn.com/2024/09/19/politics/trump-jewish-voters-antisemitism-event/index.html,"Washington, DC: Trump says Jewish voters would bear some blame if he loses election CNN Politics","Former President Donald Trump said Thursday that the Jewish people would be partially to blame if he loses in November, escalating his persistent campaign trail criticism of Jewish voters and insisting that Democrats hold a curse over them....Former President Donald Trump said Thursday that the Jewish people would be partially to blame if he loses in November, escalating his persistent campaign trail criticism of Jewish voters and insisting that Democrats hold a curse over them. ... By and ,CNN... By and CNN... Updated 12 26 AM EDT Fri September 20 2024...Former President Donald Trump speaks a",2,"[""Former President Donald Trump said Thursday that the Jewish people would be partially to blame if he loses in November, escalating his persistent campaign trail criticism of Jewish voters and insisting that Democrats hold a curse over them. "", "" By and ,CNN"", "" Updated 12:26 AM EDT"", "" Fri September 20"", "" 2024"", ""Former President Donald Trump speaks at an antisemitism awareness event in Washington"", "" DC"", "" on September 19"", "" 2024."", "" Former said Thursday that the Jewish people would be partially to blame if he loses in November"", "" escalating his persistent campaign trail criticism of Jewish voters and insisting that Democrats hold a curse over them."", "" Im not going to call this as a prediction"", "" but in my opinion"", "" the Jewish people would have a lot to do with a loss if Im at 40% support in the polls"", "" Trump told Republicans in Washington at an event billed as opposing antisemitism. If Im at 40"", ""think of it"", "" that means 60% are voting for Kamala (Harris)"", "" who"", "" in particular"", "" is a bad Democrat. The Democrats are bad to Israel"", "" very bad.""]","Former President Donald Trump said Thursday that the Jewish people would be partially to blame if he loses in November, escalating his persistent campaign trail criticism of Jewish voters and insisting that Democrats hold a curse over them.   By and ,CNN  Updated 12:26 AM EDT  Fri September 20  2024 Former President Donald Trump speaks at an antisemitism awareness event in Washington  DC  on September 19  2024.  Former said Thursday that the Jewish people would be partially to blame if he loses in November  escalating his persistent campaign trail criticism of Jewish voters and insisting that Democrats hold a curse over them.  Im not going to call this as a prediction  but in my opinion  the Jewish people would have a lot to do with a loss if Im at 40% support in the polls  Trump told Republicans in Washington at an event billed as opposing antisemitism. If Im at 40 think of it  that means 60% are voting for Kamala (Harris)  who  in particular  is a bad Democrat. The Democrats are bad to Israel  very bad.","Former President Donald Trump said Thursday that the Jewish people would be partially to blame if he loses in November, escalating his persistent campaign trail criticism of Jewish voters and insisting that Democrats hold a curse over them. "," By and ,CNN", Updated 12:26 AM EDT, Fri September 20, 2024,Former President Donald Trump speaks at an antisemitism awareness event in Washington, DC, on September 19, 2024., Former said Thursday that the Jewish people would be partially to blame if he loses in November, escalating his persistent campaign trail criticism of Jewish voters and insisting that Democrats hold a curse over them., Im not going to call this as a prediction, but in my opinion, the Jewish people would have a lot to do with a loss if Im at 40% support in the polls, Trump told Republicans in Washington at an event billed as opposing antisemitism. If Im at 40,think of it, that means 60% are voting for Kamala (Harris), who, in particular, is a bad Democrat. The Democrats are bad to Israel, very bad.,,,,,
719159327669760984,719159327669760984,https://www.cnn.com/world,"World news -breaking news, video, headlines and opinion CNN","View CNN world news today for international news and videos from Europe, Asia, Africa, the Middle East and the Americas....Fears of escalation grow as Israel signals readiness for war with Hezbollah...Fears of escalation grow as Israel signals readiness for war with Hezbollah...Middle East on the precipice again after Hezbollah leader vows retribution and Israel launches strikes Here s what we know...Live Updates Lebanon rocked by deadly walkie talkie and pager attacks...Lebanon rocked by deadly walkie talkie and pager attacks",2,"[""View CNN world news today for international news and videos from Europe, Asia, Africa, the Middle East and the Americas. "", ""Fears of escalation grow as Israel signals readiness for war with Hezbollah"", ""Middle East on the precipice again after Hezbollah leader vows retribution and Israel launches strikes. Here s what we know"", ""Live Updates Lebanon rocked by deadly walkie-talkie and pager attacks"", ""Lebanon rocked by deadly walkie-talkie and pager attacks"", ""Pakistan police fatally shoot blasphemy suspect in second such killing in a week""]","View CNN world news today for international news and videos from Europe, Asia, Africa, the Middle East and the Americas.  Fears of escalation grow as Israel signals readiness for war with Hezbollah Middle East on the precipice again after Hezbollah leader vows retribution and Israel launches strikes. Here s what we know Live Updates Lebanon rocked by deadly walkie-talkie and pager attacks Lebanon rocked by deadly walkie-talkie and pager attacks Pakistan police fatally shoot blasphemy suspect in second such killing in a week","View CNN world news today for international news and videos from Europe, Asia, Africa, the Middle East and the Americas. ",Fears of escalation grow as Israel signals readiness for war with Hezbollah,Middle East on the precipice again after Hezbollah leader vows retribution and Israel launches strikes. Here s what we know,Live Updates Lebanon rocked by deadly walkie-talkie and pager attacks,Lebanon rocked by deadly walkie-talkie and pager attacks,Pakistan police fatally shoot blasphemy suspect in second such killing in a week,,,,,,,,,,,,,,,,,,,,
719159327737694850,719159327737694850,https://www.cnn.com/2024/09/17/style/jet-black-jewels-gems-whitby/index.html,Jet: The forgotten gemstone that reigned during the Victorian era comes back into focus CNN,"A handful of esteemed designers have recently been embracing jet, incorporating the featherlight gemstone into fine jewelry pieces stocked by influential stores.... Published 4:16 AM EDT, Tue September 17, 2024...Jewelry designer Natasha Wightman whose evocative, sculptural work is pictured above is one of a number of creatives working with jet, a long-overlooked gemstone....Jewelry designer Natasha Wightman whose evocative sculptural work is pictured above is one of a number of creatives working with jet a long overlooked gemstone ... Radiant diamonds sapphires and rubies have been among the ",2,"["" Published 4:16 AM EDT, Tue September 17, 2024"", ""Jewelry designer Natasha Wightman whose evocative, sculptural work is pictured above is one of a number of creatives working with jet, a long-overlooked gemstone."", "" Radiant diamonds"", "" sapphires"", "" and rubies have been among the most coveted gemstones on the planet for nearly a century. But long before their reign"", "" a far less dazzling gem captured the hearts of jewelry lovers and now its making a comeback."", "" Jet"", "" a flat-black"", "" opaque gemstone derived from wood that has experienced extreme compressionover millions of years"", "" was the stone throughout the Victorian era"", "" a time when fashion and jewelry deftly signaled a persons social status"", "" financial wealth and even emotional state.Victorian dress was rife with symbolism and evolved around rigid codes of propriety and caste. Tightly pulled corsets and top hats"", "" to name two ubiquitous items from the era"", "" signified wealth and propriety"", "" while jewels depicting doves hinted to an individuals deep religious devotion."", "" Surprisingly lightweight and inky-black"", "" jet is one of the oldest known gemstones"", "" and has been carved and shaped by the artistically inclined since the Neolithic era (7"", ""000-1"", ""7000 B.C.). Both the Romans and Vikings fashioned items with jet"", "" ranging from buttons and rings to tiny sculptures and protective amulets.But it was Queen Victoria who delivered jet to fashions highest heights in the mid-1800s. The monarch wore jet often"", "" most notably in the second half of her reign; the gem matched the all-black ensembles she wore exclusively following the death of her husband"", "" Prince Albert. (Jet has been synonymous with mourning dress ever since.)"", ""Queen Victoria embrace of the gem"", "" coupled with the fact that it was mined locally"", "" meant that jet was particularly prominent in the UK throughout the Victorian era.""]"," Published 4:16 AM EDT, Tue September 17, 2024 Jewelry designer Natasha Wightman whose evocative, sculptural work is pictured above is one of a number of creatives working with jet, a long-overlooked gemstone.  Radiant diamonds  sapphires  and rubies have been among the most coveted gemstones on the planet for nearly a century. But long before their reign  a far less dazzling gem captured the hearts of jewelry lovers and now its making a comeback.  Jet  a flat-black  opaque gemstone derived from wood that has experienced extreme compressionover millions of years  was the stone throughout the Victorian era  a time when fashion and jewelry deftly signaled a persons social status  financial wealth and even emotional state.Victorian dress was rife with symbolism and evolved around rigid codes of propriety and caste. Tightly pulled corsets and top hats  to name two ubiquitous items from the era  signified wealth and propriety  while jewels depicting doves hinted to an individuals deep religious devotion.  Surprisingly lightweight and inky-black  jet is one of the oldest known gemstones  and has been carved and shaped by the artistically inclined since the Neolithic era (7 000-1 7000 B.C.). Both the Romans and Vikings fashioned items with jet  ranging from buttons and rings to tiny sculptures and protective amulets.But it was Queen Victoria who delivered jet to fashions highest heights in the mid-1800s. The monarch wore jet often  most notably in the second half of her reign; the gem matched the all-black ensembles she wore exclusively following the death of her husband  Prince Albert. (Jet has been synonymous with mourning dress ever since.) Queen Victoria embrace of the gem  coupled with the fact that it was mined locally  meant that jet was particularly prominent in the UK throughout the Victorian era."," Published 4:16 AM EDT, Tue September 17, 2024","Jewelry designer Natasha Wightman whose evocative, sculptural work is pictured above is one of a number of creatives working with jet, a long-overlooked gemstone.", Radiant diamonds, sapphires, and rubies have been among the most coveted gemstones on the planet for nearly a century. But long before their reign, a far less dazzling gem captured the hearts of jewelry lovers and now its making a comeback., Jet, a flat-black, opaque gemstone derived from wood that has experienced extreme compressionover millions of years, was the stone throughout the Victorian era, a time when fashion and jewelry deftly signaled a persons social status, financial wealth and even emotional state.Victorian dress was rife with symbolism and evolved around rigid codes of propriety and caste. Tightly pulled corsets and top hats, to name two ubiquitous items from the era, signified wealth and propriety, while jewels depicting doves hinted to an individuals deep religious devotion., Surprisingly lightweight and inky-black, jet is one of the oldest known gemstones, and has been carved and shaped by the artistically inclined since the Neolithic era (7,000-1,7000 B.C.). Both the Romans and Vikings fashioned items with jet, ranging from buttons and rings to tiny sculptures and protective amulets.But it was Queen Victoria who delivered jet to fashions highest heights in the mid-1800s. The monarch wore jet often, most notably in the second half of her reign; the gem matched the all-black ensembles she wore exclusively following the death of her husband, Prince Albert. (Jet has been synonymous with mourning dress ever since.),Queen Victoria embrace of the gem, coupled with the fact that it was mined locally, meant that jet was particularly prominent in the UK throughout the Victorian era.
719159329066429472,719159329066429472,https://www.cnn.com/audio/podcasts/one-thing/episodes/986132c8-179e-11ef-aba1-d34bf71b6722,The Challenge of Securing an Increasingly Violent Election -CNN One Thing -Podcast on CNN Audio,"The US Secret Service is facing mounting questions in the wake of another apparent assassination attempt against former President Donald Trump. In this episode, we break down the latest in the investigation and look at the possible fallout as Election Day approaches. Guest: Zachary Cohen, CNN National Security Reporter...The US Secret Service is facing mounting questions in the wake of another apparent assassination attempt against former President Donald Trump. In this episode, we break down the latest in the investigation and look at the possible fallout as Election Day approaches. ...Guest:",2,"[""The US Secret Service is facing mounting questions in the wake of another apparent assassination attempt against former President Donald Trump. In this episode, we break down the latest in the investigation and look at the possible fallout as Election Day approaches. "", ""Guest: Zachary Cohen, CNN National Security Reporter "", ""6 PM ET: Campaigns battle for the airwaves"", "" good news for homebuyers"", "" voting from space more"", ""CNN NewsNight with Abby Phillip"", ""The Source with Kaitlan Collins"", ""The Challenge of Securing an Increasingly Violent Election""]","The US Secret Service is facing mounting questions in the wake of another apparent assassination attempt against former President Donald Trump. In this episode, we break down the latest in the investigation and look at the possible fallout as Election Day approaches.  Guest: Zachary Cohen, CNN National Security Reporter  6 PM ET: Campaigns battle for the airwaves  good news for homebuyers  voting from space more CNN NewsNight with Abby Phillip The Source with Kaitlan Collins The Challenge of Securing an Increasingly Violent Election","The US Secret Service is facing mounting questions in the wake of another apparent assassination attempt against former President Donald Trump. In this episode, we break down the latest in the investigation and look at the possible fallout as Election Day approaches. ","Guest: Zachary Cohen, CNN National Security Reporter ",6 PM ET: Campaigns battle for the airwaves, good news for homebuyers, voting from space more,CNN NewsNight with Abby Phillip,The Source with Kaitlan Collins,The Challenge of Securing an Increasingly Violent Election,,,,,,,,,,,,,,,,,,
719159330769192379,719159330769192379,https://www.cnn.com/style/fashion,Fashion news and features and the latest on celebrity fashion CNN,"Exclusive interviews with top fashion designers, behind-the-scenes fashion week coverage, and thoughtful perspectives on the clothes we wear....Meet the TikToker behind Ella Emhoffs internet-breaking DNC dress...Meet the TikToker behind Ella Emhoffs internet breaking DNC dress... We wanted it to feel like an elegant tea party A modern princess moment said the 28 year old influencer and fashiongraduate Joe Ando ...Look of the Week Rihannas fluffy bathrobe...On its 40th anniversary London Fashion Week has plenty to celebrate",2,"[""Exclusive interviews with top fashion designers, behind-the-scenes fashion week coverage, and thoughtful perspectives on the clothes we wear. "", ""Meet the TikToker behind Ella Emhoffs internet-breaking DNC dress"", "" We wanted it to feel like an elegant tea party A modern princess moment"", "" said the 28-year-old influencer and fashiongraduate Joe Ando."", ""Look of the Week: Rihannas fluffy bathrobe"", ""On its 40th anniversary"", "" London Fashion Week has plenty to celebrate"", ""Costuming an icon: How the Beetlejuice wardrobe got a modern upgrade""]","Exclusive interviews with top fashion designers, behind-the-scenes fashion week coverage, and thoughtful perspectives on the clothes we wear.  Meet the TikToker behind Ella Emhoffs internet-breaking DNC dress  We wanted it to feel like an elegant tea party A modern princess moment  said the 28-year-old influencer and fashiongraduate Joe Ando. Look of the Week: Rihannas fluffy bathrobe On its 40th anniversary  London Fashion Week has plenty to celebrate Costuming an icon: How the Beetlejuice wardrobe got a modern upgrade","Exclusive interviews with top fashion designers, behind-the-scenes fashion week coverage, and thoughtful perspectives on the clothes we wear. ",Meet the TikToker behind Ella Emhoffs internet-breaking DNC dress, We wanted it to feel like an elegant tea party A modern princess moment, said the 28-year-old influencer and fashiongraduate Joe Ando.,Look of the Week: Rihannas fluffy bathrobe,On its 40th anniversary, London Fashion Week has plenty to celebrate,Costuming an icon: How the Beetlejuice wardrobe got a modern upgrade,,,,,,,,,,,,,,,,,,
719159327138789732,719159327138789732,https://www.cnn.com/2024/09/13/science/japanese-eel-escape-fish-stomach/index.html,Swallowed eels escape via predator fish s gills CNN,"After being swallowed alive, Japanese eels were able to escape from a predator fish s stomach and swim to freedom through the fish s gills, new research shows.... Updated 10:31 AM EDT, Fri September 13, 2024... Updated 10 31 AM EDT Fri September 13 2024...After being swallowed alive a Japanese eel wriggles free from a dark sleeper fish through the predator gills ... When youre a predatory fish sometimes the lunch you gobbled up doesnt agree with you Rather than accepting its fate the still living meal escapes your stomach and flees through the nearest orifice ... Dark sleeper fish Odontobutis ",2,"[""After being swallowed alive, Japanese eels were able to escape from a predator fish s stomach and swim to freedom through the fish s gills, new research shows. "", "" Updated 10:31 AM EDT, Fri September 13, 2024"", ""After being swallowed alive"", "" a Japanese eel wriggles free from a dark sleeper fish through the predator gills."", "" When youre a predatory fish"", "" sometimes the lunch you gobbled up doesnt agree with you. Rather than accepting its fate"", "" the still-living meal escapes your stomach and flees through the nearest orifice."", "" Dark sleeper fish (Odontobutis obscura) can gulp down young Japanese eels (Anguilla japonica) whole"", "" but the swallowed eels can wriggle back up through the digestive tract and out of the stomach"", "" swimming to freedom through the bigger fishs gills"", "" scientists recently discovered."", ""Why axolotls seem to be everywhere except in the one lake they call home""]","After being swallowed alive, Japanese eels were able to escape from a predator fish s stomach and swim to freedom through the fish s gills, new research shows.   Updated 10:31 AM EDT, Fri September 13, 2024 After being swallowed alive  a Japanese eel wriggles free from a dark sleeper fish through the predator gills.  When youre a predatory fish  sometimes the lunch you gobbled up doesnt agree with you. Rather than accepting its fate  the still-living meal escapes your stomach and flees through the nearest orifice.  Dark sleeper fish (Odontobutis obscura) can gulp down young Japanese eels (Anguilla japonica) whole  but the swallowed eels can wriggle back up through the digestive tract and out of the stomach  swimming to freedom through the bigger fishs gills  scientists recently discovered. Why axolotls seem to be everywhere except in the one lake they call home","After being swallowed alive, Japanese eels were able to escape from a predator fish s stomach and swim to freedom through the fish s gills, new research shows. "," Updated 10:31 AM EDT, Fri September 13, 2024",After being swallowed alive, a Japanese eel wriggles free from a dark sleeper fish through the predator gills., When youre a predatory fish, sometimes the lunch you gobbled up doesnt agree with you. Rather than accepting its fate, the still-living meal escapes your stomach and flees through the nearest orifice., Dark sleeper fish (Odontobutis obscura) can gulp down young Japanese eels (Anguilla japonica) whole, but the swallowed eels can wriggle back up through the digestive tract and out of the stomach, swimming to freedom through the bigger fishs gills, scientists recently discovered.,Why axolotls seem to be everywhere except in the one lake they call home,,,,,,,,,,,,,,
